,station_index,pm2_5_AVG,pm10_0_atm,date,name,latitude,longitude,altitude,pm2_5_station_median,pm10_0_station_median,pm10_0_daily_median,pm10_0_diff,pm2_5_daily_median,pm2_5_diff,way,distance
81,3225,10.0,14.2,2017-12-05,Wilburton,47.614223,-122.1695,210,3.8,5.1,15.4,-1.200000000000001,10.65,-0.6500000000000004,623957745,1.4283923854838974
82,3225,10.1,14.4,2017-12-06,Wilburton,47.614223,-122.1695,210,3.8,5.1,11.95,2.450000000000001,8.3,1.799999999999999,623957745,1.4283923854838974
83,3225,8.4,11.9,2017-12-07,Wilburton,47.614223,-122.1695,210,3.8,5.1,10.4,1.5,7.35,1.0500000000000007,623957745,1.4283923854838974
84,3225,14.9,21.5,2017-12-08,Wilburton,47.614223,-122.1695,210,3.8,5.1,22.9,-1.3999999999999986,15.65,-0.7499999999999982,623957745,1.4283923854838974
85,3225,30.7,46.6,2017-12-09,Wilburton,47.614223,-122.1695,210,3.8,5.1,48.95,-2.3500000000000014,31.700000000000003,-1.0000000000000036,623957745,1.4283923854838974
86,3225,19.4,28.9,2017-12-10,Wilburton,47.614223,-122.1695,210,3.8,5.1,29.1,-0.2000000000000028,19.55,-0.1499999999999985,623957745,1.4283923854838974
87,3225,19.2,28.3,2017-12-11,Wilburton,47.614223,-122.1695,210,3.8,5.1,32.3,-3.999999999999997,21.7,-2.5,623957745,1.4283923854838974
88,3225,13.3,19.4,2017-12-12,Wilburton,47.614223,-122.1695,210,3.8,5.1,19.9,-0.5,13.7,-0.3999999999999986,623957745,1.4283923854838974
89,3225,15.5,22.7,2017-12-13,Wilburton,47.614223,-122.1695,210,3.8,5.1,24.65,-1.9499999999999995,16.6,-1.1000000000000014,623957745,1.4283923854838974
90,3225,14.3,20.7,2017-12-14,Wilburton,47.614223,-122.1695,210,3.8,5.1,19.3,1.400000000000002,13.35,0.9499999999999992,623957745,1.4283923854838974
91,3225,13.1,18.8,2017-12-15,Wilburton,47.614223,-122.1695,210,3.8,5.1,23.25,-4.449999999999999,16.0,-2.9000000000000004,623957745,1.4283923854838974
92,3225,9.1,12.8,2017-12-16,Wilburton,47.614223,-122.1695,210,3.8,5.1,15.0,-2.1999999999999997,10.5,-1.4000000000000004,623957745,1.4283923854838974
93,3225,3.8,5.2,2017-12-17,Wilburton,47.614223,-122.1695,210,3.8,5.1,7.5,-2.3,5.4,-1.6000000000000003,623957745,1.4283923854838974
94,3225,0.6,0.8,2017-12-18,Wilburton,47.614223,-122.1695,210,3.8,5.1,1.25,-0.4499999999999999,1.0,-0.4,623957745,1.4283923854838974
95,3225,1.8,2.3,2017-12-19,Wilburton,47.614223,-122.1695,210,3.8,5.1,2.7,-0.4000000000000003,2.05,-0.2499999999999997,623957745,1.4283923854838974
96,3225,1.4,1.7,2017-12-20,Wilburton,47.614223,-122.1695,210,3.8,5.1,1.4,0.3,1.15,0.25,623957745,1.4283923854838974
97,3225,8.6,12.5,2017-12-21,Wilburton,47.614223,-122.1695,210,3.8,5.1,12.5,0.0,8.6,0.0,623957745,1.4283923854838974
98,3225,6.0,8.3,2017-12-22,Wilburton,47.614223,-122.1695,210,3.8,5.1,9.55,-1.25,6.75,-0.75,623957745,1.4283923854838974
99,3225,9.2,13.2,2017-12-23,Wilburton,47.614223,-122.1695,210,3.8,5.1,9.8,3.3999999999999986,6.8,2.3999999999999995,623957745,1.4283923854838974
100,3225,5.7,8.1,2017-12-24,Wilburton,47.614223,-122.1695,210,3.8,5.1,7.6,0.5,5.300000000000001,0.3999999999999994,623957745,1.4283923854838974
101,3225,9.2,13.2,2017-12-25,Wilburton,47.614223,-122.1695,210,3.8,5.1,14.05,-0.8500000000000014,9.7,-0.5,623957745,1.4283923854838974
102,3225,17.2,25.5,2017-12-26,Wilburton,47.614223,-122.1695,210,3.8,5.1,24.2,1.3000000000000007,16.4,0.8000000000000007,623957745,1.4283923854838974
103,3225,10.5,15.0,2017-12-27,Wilburton,47.614223,-122.1695,210,3.8,5.1,17.95,-2.9499999999999997,12.35,-1.85,623957745,1.4283923854838974
104,3225,6.5,9.1,2017-12-28,Wilburton,47.614223,-122.1695,210,3.8,5.1,11.65,-2.549999999999999,8.2,-1.6999999999999993,623957745,1.4283923854838974
105,3225,1.3,1.6,2017-12-29,Wilburton,47.614223,-122.1695,210,3.8,5.1,4.2,-2.6,3.1,-1.8,623957745,1.4283923854838974
106,3225,0.7,0.9,2017-12-30,Wilburton,47.614223,-122.1695,210,3.8,5.1,1.2,-0.2999999999999999,0.95,-0.25,623957745,1.4283923854838974
107,3225,6.4,8.9,2017-12-31,Wilburton,47.614223,-122.1695,210,3.8,5.1,11.2,-2.299999999999999,7.55,-1.1499999999999997,623957745,1.4283923854838974
108,3225,18.1,27.2,2018-01-01,Wilburton,47.614223,-122.1695,210,3.8,5.1,21.45,5.75,14.35,3.75,623957745,1.4283923854838974
109,3225,12.4,18.0,2018-01-02,Wilburton,47.614223,-122.1695,210,3.8,5.1,13.7,4.300000000000001,9.45,2.950000000000001,623957745,1.4283923854838974
110,3225,10.3,14.8,2018-01-03,Wilburton,47.614223,-122.1695,210,3.8,5.1,13.45,1.3500000000000014,9.35,0.9499999999999992,623957745,1.4283923854838974
111,3225,15.9,22.9,2018-01-04,Wilburton,47.614223,-122.1695,210,3.8,5.1,23.6,-0.7000000000000028,16.2,-0.2999999999999989,623957745,1.4283923854838974
112,3225,16.1,23.2,2018-01-05,Wilburton,47.614223,-122.1695,210,3.8,5.1,21.15,2.0500000000000007,14.75,1.3500000000000014,623957745,1.4283923854838974
113,3225,3.2,4.4,2018-01-06,Wilburton,47.614223,-122.1695,210,3.8,5.1,5.050000000000001,-0.6500000000000004,3.7,-0.5,623957745,1.4283923854838974
114,3225,3.1,4.1,2018-01-07,Wilburton,47.614223,-122.1695,210,3.8,5.1,5.05,-0.9500000000000002,3.75,-0.6499999999999999,623957745,1.4283923854838974
115,3225,5.0,6.8,2018-01-08,Wilburton,47.614223,-122.1695,210,3.8,5.1,8.7,-1.8999999999999997,6.35,-1.3499999999999996,623957745,1.4283923854838974
116,3225,2.5,3.2,2018-01-09,Wilburton,47.614223,-122.1695,210,3.8,5.1,5.85,-2.6499999999999995,4.35,-1.85,623957745,1.4283923854838974
117,3225,1.3,1.6,2018-01-10,Wilburton,47.614223,-122.1695,210,3.8,5.1,1.95,-0.3499999999999998,1.5,-0.1999999999999999,623957745,1.4283923854838974
118,3225,1.6,2.0,2018-01-11,Wilburton,47.614223,-122.1695,210,3.8,5.1,3.2,-1.2000000000000002,2.45,-0.8500000000000001,623957745,1.4283923854838974
119,3225,0.8,1.0,2018-01-12,Wilburton,47.614223,-122.1695,210,3.8,5.1,1.55,-0.55,1.2000000000000002,-0.4000000000000001,623957745,1.4283923854838974
